"age","job","marital","education","loan","contact","month","day_of_week","campaign","subscribed_deposit"
56,"housemaid","married","basic.4y","no","telephone","may","mon",1,"no"
57,"services","married","high.school","no","telephone","may","mon",1,"no"
37,"services","married","high.school","no","telephone","may","mon",1,"yes"
40,"admin.","married","basic.6y","no","telephone","may","mon",1,"yes"
56,"services","married","high.school","yes","telephone","may","mon",1,"no"
45,"services","married","basic.9y","no","telephone","may","mon",1,"yes"
59,"admin.","married","professional.course","no","telephone","may","mon",1,"no"
41,"blue-collar","married","unknown","no","telephone","may","mon",1,"yes"
24,"technician","single","professional.course","no","telephone","may","mon",1,"no"
25,"services","single","high.school","no","telephone","may","mon",1,"no"
41,"blue-collar","married","unknown","no","telephone","may","mon",1,"yes"
25,"services","single","high.school","no","telephone","may","mon",1,"no"
29,"blue-collar","single","high.school","yes","telephone","may","mon",1,"no"
57,"housemaid","divorced","basic.4y","no","telephone","may","mon",1,"no"
35,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
54,"retired","married","basic.9y","yes","telephone","may","mon",1,"no"
35,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
46,"blue-collar","married","basic.6y","yes","telephone","may","mon",1,"yes"
50,"blue-collar","married","basic.9y","yes","telephone","may","mon",1,"no"
39,"management","single","basic.9y","no","telephone","may","mon",1,"no"
30,"unemployed","married","high.school","no","telephone","may","mon",1,"yes"
55,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
55,"retired","single","high.school","no","telephone","may","mon",1,"no"
41,"technician","single","high.school","no","telephone","may","mon",1,"no"
37,"admin.","married","high.school","no","telephone","may","mon",1,"yes"
35,"technician","married","university.degree","yes","telephone","may","mon",1,"yes"
59,"technician","married","unknown","no","telephone","may","mon",1,"no"
39,"self-employed","married","basic.9y","no","telephone","may","mon",1,"yes"
54,"technician","single","university.degree","no","telephone","may","mon",2,"no"
55,"unknown","married","university.degree","unknown","telephone","may","mon",1,"no"
46,"admin.","married","unknown","no","telephone","may","mon",1,"yes"
59,"technician","married","unknown","no","telephone","may","mon",1,"no"
49,"blue-collar","married","unknown","no","telephone","may","mon",1,"yes"
54,"management","married","basic.4y","no","telephone","may","mon",1,"no"
54,"blue-collar","divorced","basic.4y","no","telephone","may","mon",1,"no"
55,"unknown","married","basic.4y","no","telephone","may","mon",1,"no"
34,"services","married","high.school","no","telephone","may","mon",1,"yes"
52,"technician","married","basic.9y","no","telephone","may","mon",1,"no"
41,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
56,"technician","married","basic.4y","no","telephone","may","mon",1,"no"
58,"management","unknown","university.degree","no","telephone","may","mon",1,"no"
32,"entrepreneur","married","high.school","no","telephone","may","mon",1,"yes"
38,"admin.","single","professional.course","no","telephone","may","mon",1,"no"
57,"admin.","married","university.degree","yes","telephone","may","mon",1,"no"
44,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
42,"technician","single","professional.course","no","telephone","may","mon",1,"no"
57,"admin.","married","university.degree","yes","telephone","may","mon",1,"no"
40,"blue-collar","married","basic.9y","yes","telephone","may","mon",1,"yes"
35,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
45,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
54,"admin.","married","high.school","no","telephone","may","mon",1,"no"
39,"housemaid","married","basic.4y","yes","telephone","may","mon",1,"yes"
60,"admin.","married","high.school","no","telephone","may","mon",1,"no"
53,"admin.","single","professional.course","no","telephone","may","mon",1,"no"
55,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"no"
55,"technician","married","professional.course","no","telephone","may","mon",1,"no"
50,"management","married","university.degree","yes","telephone","may","mon",1,"no"
45,"services","married","high.school","no","telephone","may","mon",1,"yes"
55,"unemployed","married","professional.course","yes","telephone","may","mon",1,"no"
25,"technician","single","university.degree","no","telephone","may","mon",1,"no"
47,"entrepreneur","married","university.degree","no","telephone","may","mon",1,"yes"
51,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"no"
42,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
42,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
48,"admin.","married","high.school","no","telephone","may","mon",1,"yes"
37,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
44,"blue-collar","single","basic.9y","no","telephone","may","mon",1,"no"
33,"admin.","married","unknown","no","telephone","may","mon",1,"yes"
56,"admin.","married","basic.9y","no","telephone","may","mon",2,"no"
44,"blue-collar","single","basic.4y","yes","telephone","may","mon",1,"no"
41,"management","married","basic.6y","no","telephone","may","mon",1,"yes"
44,"management","divorced","university.degree","no","telephone","may","mon",1,"no"
47,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
57,"unknown","married","unknown","no","telephone","may","mon",1,"no"
37,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
41,"blue-collar","divorced","basic.4y","no","telephone","may","mon",1,"yes"
55,"technician","married","university.degree","no","telephone","may","mon",1,"no"
33,"services","married","high.school","no","telephone","may","mon",2,"yes"
55,"management","married","unknown","no","telephone","may","mon",1,"no"
42,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"yes"
50,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
51,"blue-collar","married","basic.4y","unknown","telephone","may","mon",1,"no"
38,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
49,"entrepreneur","married","university.degree","no","telephone","may","mon",1,"yes"
38,"technician","single","university.degree","yes","telephone","may","mon",1,"no"
31,"admin.","divorced","high.school","no","telephone","may","mon",1,"no"
41,"management","married","basic.6y","no","telephone","may","mon",2,"yes"
39,"admin.","married","university.degree","yes","telephone","may","mon",1,"yes"
49,"technician","married","basic.9y","no","telephone","may","mon",1,"yes"
34,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
35,"admin.","married","university.degree","no","telephone","may","mon",2,"yes"
57,"unknown","married","unknown","no","telephone","may","mon",1,"no"
60,"admin.","married","unknown","yes","telephone","may","mon",2,"no"
33,"unemployed","married","basic.9y","no","telephone","may","mon",1,"yes"
42,"blue-collar","married","basic.6y","yes","telephone","may","mon",1,"yes"
45,"services","married","professional.course","no","telephone","may","mon",1,"yes"
42,"management","married","university.degree","no","telephone","may","mon",1,"yes"
53,"admin.","divorced","university.degree","no","telephone","may","mon",1,"no"
37,"technician","single","professional.course","no","telephone","may","mon",1,"no"
44,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
54,"services","married","unknown","no","telephone","may","mon",1,"no"
49,"blue-collar","married","basic.4y","no","telephone","may","mon",3,"yes"
54,"services","married","unknown","no","telephone","may","mon",1,"no"
52,"admin.","divorced","university.degree","no","telephone","may","mon",1,"no"
52,"admin.","divorced","university.degree","no","telephone","may","mon",1,"no"
43,"services","single","high.school","no","telephone","may","mon",1,"no"
34,"housemaid","married","basic.6y","no","telephone","may","mon",2,"yes"
35,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
42,"entrepreneur","married","unknown","no","telephone","may","mon",1,"yes"
43,"technician","married","unknown","yes","telephone","may","mon",1,"yes"
60,"retired","divorced","university.degree","no","telephone","may","mon",1,"no"
58,"unemployed","married","basic.4y","no","telephone","may","mon",2,"no"
35,"services","divorced","high.school","no","telephone","may","mon",1,"no"
55,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"no"
37,"management","married","university.degree","no","telephone","may","mon",2,"yes"
36,"blue-collar","married","high.school","no","telephone","may","mon",1,"yes"
52,"admin.","divorced","university.degree","no","telephone","may","mon",2,"no"
57,"blue-collar","divorced","unknown","no","telephone","may","mon",1,"no"
56,"admin.","married","unknown","no","telephone","may","mon",1,"no"
48,"blue-collar","divorced","basic.4y","no","telephone","may","mon",1,"no"
40,"blue-collar","married","high.school","no","telephone","may","mon",1,"yes"
49,"blue-collar","divorced","high.school","no","telephone","may","mon",1,"no"
41,"services","married","high.school","no","telephone","may","mon",1,"yes"
45,"technician","married","high.school","no","telephone","may","mon",1,"yes"
32,"admin.","married","university.degree","yes","telephone","may","mon",1,"yes"
42,"admin.","married","university.degree","yes","telephone","may","mon",2,"yes"
50,"admin.","married","basic.6y","no","telephone","may","mon",1,"no"
31,"technician","divorced","professional.course","yes","telephone","may","mon",1,"no"
56,"retired","married","basic.4y","no","telephone","may","mon",2,"no"
41,"technician","married","professional.course","no","telephone","may","mon",1,"yes"
37,"blue-collar","married","basic.6y","yes","telephone","may","mon",1,"yes"
41,"technician","married","professional.course","no","telephone","may","mon",1,"yes"
35,"blue-collar","married","unknown","no","telephone","may","mon",1,"yes"
37,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
52,"management","married","university.degree","no","telephone","may","mon",1,"no"
39,"management","divorced","university.degree","no","telephone","may","mon",1,"no"
39,"housemaid","married","basic.4y","no","telephone","may","mon",2,"yes"
56,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"no"
34,"services","married","high.school","no","telephone","may","mon",2,"yes"
45,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"yes"
43,"unemployed","single","university.degree","no","telephone","may","mon",1,"no"
56,"management","married","unknown","no","telephone","may","mon",1,"no"
39,"management","married","university.degree","no","telephone","may","mon",1,"yes"
53,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
38,"unknown","divorced","high.school","no","telephone","may","mon",1,"no"
42,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"yes"
42,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"yes"
35,"admin.","single","high.school","no","telephone","may","mon",1,"no"
40,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
51,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
60,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"no"
56,"entrepreneur","married","unknown","no","telephone","may","mon",1,"no"
39,"services","divorced","high.school","no","telephone","may","mon",1,"no"
56,"entrepreneur","married","unknown","no","telephone","may","mon",1,"no"
